Emotion,SimpleCNN_F1,ResNet_F1,SimpleCNN_Precision,ResNet_Precision,SimpleCNN_Recall,ResNet_Recall,F1_Improvement,Precision_Improvement,Recall_Improvement
angry,0.7796178343949045,0.8571428571428571,0.7427184466019418,0.8384615384615385,0.8203753351206434,0.8766756032171582,0.07752502274795259,0.09574309185959673,0.05630026809651478
calm,0.651685393258427,0.6336633663366337,0.5686274509803921,0.5079365079365079,0.7631578947368421,0.8421052631578947,-0.018022026921793333,-0.06069094304388423,0.07894736842105254
disgust,0.6314199395770392,0.7529411764705882,0.7231833910034602,0.7346938775510204,0.5603217158176944,0.7721179624664879,0.12152123689354899,0.011510486547560261,0.21179624664879348
fearful,0.6304044630404463,0.6995645863570392,0.6569767441860465,0.7626582278481012,0.6058981233243967,0.646112600536193,0.06916012331659294,0.10568148366205476,0.04021447721179627
happy,0.6608695652173913,0.7547683923705722,0.7192429022082019,0.7673130193905817,0.6112600536193029,0.7426273458445041,0.09389882715318099,0.04807011718237986,0.13136729222520116
neutral,0.6863033873343152,0.7800312012480499,0.6418732782369146,0.7692307692307693,0.7373417721518988,0.7911392405063291,0.09372781391373475,0.12735749099385463,0.05379746835443033
sad,0.6503667481662592,0.6987620357634112,0.597752808988764,0.7175141242937854,0.7131367292225201,0.6809651474530831,0.04839528759715206,0.11976131530502132,-0.03217158176943702
surprised,0.9316239316239316,0.905511811023622,0.9396551724137931,0.8455882352941176,0.923728813559322,0.9745762711864406,-0.026112120600309652,-0.09406693711967551,0.05084745762711862
