emotion,precision,recall,f1_score,support
angry,0.5833333333333334,0.7,0.6363636363636364,30
calm,0.9655172413793104,0.9333333333333333,0.9491525423728814,30
disgust,0.4,0.8,0.5333333333333333,30
fearful,0.5882352941176471,0.3333333333333333,0.425531914893617,30
happy,0.6206896551724138,0.6,0.6101694915254238,30
neutral,0.782608695652174,0.6,0.6792452830188679,30
sad,0.6666666666666666,0.4,0.5,30
surprised,1.0,0.9333333333333333,0.9655172413793104,30
