Emotion,Accuracy,Sample_Count,Avg_Confidence,Vocal_Text_Agreement
calm,0.8333333333333334,6,0.6231248954931895,0.16666666666666666
surprised,0.8333333333333334,6,0.6593762641151746,0.0
angry,0.8333333333333334,6,0.6444451900819937,0.0
disgust,0.6666666666666666,6,0.547585740685463,0.0
neutral,0.6666666666666666,6,0.6003190805514653,0.5
happy,0.3333333333333333,6,0.580736265424639,0.0
fearful,0.3333333333333333,6,0.5412026127179463,0.0
sad,0.0,6,0.4249719085792701,0.16666666666666666
