Model,Accuracy,Macro_AUC,Macro_F1,Weighted_F1
ResNet,0.7633718442447582,0.9685387925578519,0.7602981783390967,0.762124623944771
SimpleCNN,0.6872058194266153,0.9488272115691858,0.7027864078265893,0.6855441328929442
