Emotion,SimpleCNN_F1,ResNet_F1,SimpleCNN_AUC,ResNet_AUC,F1_Improvement,AUC_Improvement
angry,0.7796178343949045,0.8571428571428571,0.8809236498255463,0.9787461164226862,0.07752502274795259,0.09782246659713989
calm,0.651685393258427,0.6336633663366337,0.8422082827774089,0.9932350449852339,-0.018022026921793333,0.15102676220782496
disgust,0.6314199395770392,0.7529411764705882,0.7506251945201292,0.953854365168202,0.12152123689354899,0.20322917064807278
fearful,0.6304044630404463,0.6995645863570392,0.7747948324533289,0.9471423969248073,0.06916012331659294,0.17234756447147837
happy,0.6608695652173913,0.7547683923705722,0.7856429129150445,0.9528292099616147,0.09389882715318099,0.16718629704657018
neutral,0.6863033873343152,0.7800312012480499,0.8475203402251047,0.9767097376283204,0.09372781391373475,0.12918939740321567
sad,0.6503667481662592,0.6987620357634112,0.8356311734546229,0.9482071386839792,0.04839528759715206,0.11257596522935631
surprised,0.9316239316239316,0.905511811023622,0.9417014841010992,0.9975863306879722,-0.026112120600309652,0.05588484658687298
